,line,from,to,weight
0,U1,Olympia-Einkaufszentrum,Georg-Brauchle-Ring,60
1,U1,Georg-Brauchle-Ring,Westfriedhof,60
2,U1,Westfriedhof,Gern,60
3,U1,Gern,Rotkreuzplatz,70
4,U1,Rotkreuzplatz,Mailingerstraße,80
5,U1,Mailingerstraße,Stiglmaierplatz,60
6,U1,Stiglmaierplatz,Hauptbahnhof,70
7,U1,Hauptbahnhof,Sendlinger Tor,70
8,U1,Sendlinger Tor,Fraunhoferstraße,60
9,U1,Fraunhoferstraße,Kolumbusplatz,80
10,U1,Kolumbusplatz,Candidplatz,70
11,U1,Candidplatz,Wettersteinplatz,60
12,U1,Wettersteinplatz,St.-Quirin-Platz,50
13,U1,St.-Quirin-Platz,Mangfallplatz,70
14,U2,Feldmoching,Hasenbergl,70
15,U2,Hasenbergl,Dülferstraße,50
16,U2,Dülferstraße,Harthof,80
17,U2,Harthof,Am Hart,70
18,U2,Am Hart,Frankfurter Ring,70
19,U2,Frankfurter Ring,Milbertshofen,60
20,U2,Milbertshofen,Scheidplatz,80
21,U2,Scheidplatz,Hohenzollernplatz,80
22,U2,Hohenzollernplatz,Josephsplatz,60
23,U2,Josephsplatz,Theresienstraße,50
24,U2,Theresienstraße,Königsplatz,60
25,U2,Königsplatz,Hauptbahnhof,50
26,U2,Hauptbahnhof,Sendlinger Tor,70
27,U2,Sendlinger Tor,Fraunhoferstraße,60
28,U2,Fraunhoferstraße,Kolumbusplatz,80
29,U2,Kolumbusplatz,Silberhornstraße,60
30,U2,Silberhornstraße,Untersbergstraße,50
31,U2,Untersbergstraße,Giesing Bahnhof,50
32,U2,Giesing Bahnhof,Karl-Preis-Platz,90
33,U2,Karl-Preis-Platz,Innsbrucker Ring,70
34,U2,Innsbrucker Ring,Josephsburg,100
35,U2,Josephsburg,Kreillerstraße,70
36,U2,Kreillerstraße,Trudering,80
37,U2,Trudering,Moosfeld,70
38,U2,Moosfeld,Messestadt West,100
39,U2,Messestadt West,Messestadt Ost,70
40,U3,Moosach,Moosacher St.-Martins-Platz,60
41,U3,Moosacher St.-Martins-Platz,Olympia-Einkaufszentrum,70
42,U3,Olympia-Einkaufszentrum,Oberwiesenfeld,90
43,U3,Oberwiesenfeld,Olympiazentrum,80
44,U3,Olympiazentrum,Petuelring,70
45,U3,Petuelring,Scheidplatz,60
46,U3,Scheidplatz,Bonnerplatz,60
47,U3,Bonnerplatz,Münchner Freiheit,70
48,U3,Münchner Freiheit,Giselastraße,50
49,U3,Giselastraße,Universität,60
50,U3,Universität,Odeonsplatz,60
51,U3,Odeonsplatz,Marienplatz,50
