,from,to,distance
0,München,München,0.0
1,München,Augsburg,56.39712619153761
2,München,Ingolstadt,70.4755526705865
3,München,Regensburg,105.37027251695804
4,München,Landshut,61.51340423856079
5,München,Straubing,110.56708395431436
6,München,Passau,147.57670108410736
7,München,Deggendorf,128.20887434025315
8,München,Burghausen,93.32898695829647
9,München,"Weißenburg, Bayern",108.81448527717141
10,München,Freising,31.868288855699827
11,München,Moosburg a.d. Isar,45.210882084343446
12,München,Vilsbiburg,67.3207540472928
13,München,Landau a.d. Isar,101.46635076362715
14,München,Mainburg,58.02753836458347
15,München,Abensberg,80.14218925093392
16,München,Schierling,88.2242611412461
17,München,Schrobenhausen,52.43869619276751
18,München,Erding,30.9918615928161
19,München,Pfarrkirchen,106.06525169343054
20,München,Osterhofen,123.74077955800938
21,München,Eichstätt,88.8958678325137
22,München,Neuburg a.d. Donau,72.83685994780805
23,München,Kösching,75.12901689546094
24,München,Pfaffenhofen a.d. Ilm,43.93052032675148
25,Augsburg,München,56.39712619153761
26,Augsburg,Augsburg,0.0
27,Augsburg,Ingolstadt,58.5104263913807
28,Augsburg,Regensburg,113.94233538795292
29,Augsburg,Landshut,94.30827683328553
30,Augsburg,Straubing,135.4593199431243
31,Augsburg,Passau,190.31931279878438
32,Augsburg,Deggendorf,160.31363455714254
33,Augsburg,Burghausen,145.12256710235408
34,Augsburg,"Weißenburg, Bayern",73.7598630442708
35,Augsburg,Freising,62.574581742324426
36,Augsburg,Moosburg a.d. Isar,77.17522613846543
37,Augsburg,Vilsbiburg,107.96740590090715
38,Augsburg,Landau a.d. Isar,136.246652064505
39,Augsburg,Mainburg,71.79370515039179
40,Augsburg,Abensberg,87.3971434937623
41,Augsburg,Schierling,105.00403298373622
42,Augsburg,Schrobenhausen,34.51708272637836
43,Augsburg,Erding,74.9561886551215
44,Augsburg,Pfarrkirchen,150.8099632136439
45,Augsburg,Osterhofen,160.57315498574192
46,Augsburg,Eichstätt,61.971720983274864
47,Augsburg,Neuburg a.d. Donau,45.884573834458024
48,Augsburg,Kösching,66.16298912974618
49,Augsburg,Pfaffenhofen a.d. Ilm,48.44300791984974
50,Ingolstadt,München,70.4755526705865
51,Ingolstadt,Augsburg,58.5104263913807
52,Ingolstadt,Ingolstadt,0.0
53,Ingolstadt,Regensburg,56.83732252665012
54,Ingolstadt,Landshut,59.03605159966337
55,Ingolstadt,Straubing,84.83860144269292
56,Ingolstadt,Passau,150.95980463815283
57,Ingolstadt,Deggendorf,112.84862688123133
58,Ingolstadt,Burghausen,123.65095782442773
59,Ingolstadt,"Weißenburg, Bayern",44.524214463339526
60,Ingolstadt,Freising,46.608106395178204
61,Ingolstadt,Moosburg a.d. Isar,49.81621403399317
62,Ingolstadt,Vilsbiburg,76.85338087387348
63,Ingolstadt,Landau a.d. Isar,93.46658765813679
64,Ingolstadt,Mainburg,29.526601623820202
65,Ingolstadt,Abensberg,32.59408420449844
66,Ingolstadt,Schierling,52.86730041764677
67,Ingolstadt,Schrobenhausen,25.30367006704345
68,Ingolstadt,Erding,61.96886391931657
69,Ingolstadt,Pfarrkirchen,117.23073591764572
70,Ingolstadt,Osterhofen,117.18189457204838
71,Ingolstadt,Eichstätt,22.838544488217025
72,Ingolstadt,Neuburg a.d. Donau,18.227498356251015
73,Ingolstadt,Kösching,7.67139504655617
74,Ingolstadt,Pfaffenhofen a.d. Ilm,26.66104468182539
75,Regensburg,München,105.37027251695804
76,Regensburg,Augsburg,113.94233538795292
77,Regensburg,Ingolstadt,56.83732252665012
78,Regensburg,Regensburg,0.0
79,Regensburg,Landshut,53.888690865817594
80,Regensburg,Straubing,37.72319629630398
81,Regensburg,Passau,111.44078057911211
82,Regensburg,Deggendorf,66.46902475022975
83,Regensburg,Burghausen,109.93009249837966
84,Regensburg,"Weißenburg, Bayern",82.07936183032123
85,Regensburg,Freising,73.5246217665742
86,Regensburg,Moosburg a.d. Isar,62.64003801215571
87,Regensburg,Vilsbiburg,66.26357778663309
88,Regensburg,Landau a.d. Isar,58.29727815126527
89,Regensburg,Mainburg,48.04740823652282
90,Regensburg,Abensberg,27.15857235932136
91,Regensburg,Schierling,20.459903392390686
92,Regensburg,Schrobenhausen,79.44082783913159
93,Regensburg,Erding,80.50814029444359
94,Regensburg,Pfarrkirchen,89.85624854216019
95,Regensburg,Osterhofen,76.17459380708334
96,Regensburg,Eichstätt,68.16450505235173
97,Regensburg,Neuburg a.d. Donau,74.10681165298442
98,Regensburg,Kösching,49.415323033965315
99,Regensburg,Pfaffenhofen a.d. Ilm,69.49673192626273
100,Landshut,München,61.51340423856079
101,Landshut,Augsburg,94.30827683328553
102,Landshut,Ingolstadt,59.03605159966337
103,Landshut,Regensburg,53.888690865817594
104,Landshut,Landshut,0.0
105,Landshut,Straubing,49.18482529292164
106,Landshut,Passau,96.4593062323419
107,Landshut,Deggendorf,68.05043822036565
108,Landshut,Burghausen,65.53987702794508
109,Landshut,"Weißenburg, Bayern",102.43424826132888
110,Landshut,Freising,33.61717146975783
111,Landshut,Moosburg a.d. Isar,17.84862354183109
112,Landshut,Vilsbiburg,17.929690746141816
113,Landshut,Landau a.d. Isar,42.370255818156956
114,Landshut,Mainburg,29.557219670112968
115,Landshut,Abensberg,39.477377074534644
116,Landshut,Schierling,33.512187816141804
117,Landshut,Schrobenhausen,65.29223737383671
118,Landshut,Erding,31.256681364222572
119,Landshut,Pfarrkirchen,59.14751211799419
120,Landshut,Osterhofen,66.44640785700523
121,Landshut,Eichstätt,81.35128459365534
122,Landshut,Neuburg a.d. Donau,74.84654511160558
123,Landshut,Kösching,56.74427794360504
124,Landshut,Pfaffenhofen a.d. Ilm,47.362640110371984
125,Straubing,München,110.56708395431436
126,Straubing,Augsburg,135.4593199431243
127,Straubing,Ingolstadt,84.83860144269292
128,Straubing,Regensburg,37.72319629630398
129,Straubing,Landshut,49.18482529292164
130,Straubing,Straubing,0.0
131,Straubing,Passau,73.75535500266172
132,Straubing,Deggendorf,29.207454170210656
133,Straubing,Burghausen,82.71075848745834
134,Straubing,"Weißenburg, Bayern",117.82581905853607
135,Straubing,Freising,80.8912419466787
136,Straubing,Moosburg a.d. Isar,65.69565072384376
137,Straubing,Vilsbiburg,50.69827521546946
138,Straubing,Landau a.d. Isar,25.200056951556277
139,Straubing,Mainburg,63.66806443658948
140,Straubing,Abensberg,52.416430701987395
141,Straubing,Schierling,31.971629336249137
142,Straubing,Schrobenhausen,102.1029176141855
143,Straubing,Erding,80.41238225306708
144,Straubing,Pfarrkirchen,56.89828819074645
145,Straubing,Osterhofen,38.59273884202778
146,Straubing,Eichstätt,101.33043831274863
147,Straubing,Neuburg a.d. Donau,103.06567739087377
148,Straubing,Kösching,78.64568808277873
149,Straubing,Pfaffenhofen a.d. Ilm,87.17007135502301
150,Passau,München,147.57670108410736
151,Passau,Augsburg,190.31931279878438
152,Passau,Ingolstadt,150.95980463815283
153,Passau,Regensburg,111.44078057911211
154,Passau,Landshut,96.4593062323419
155,Passau,Straubing,73.75535500266172
156,Passau,Passau,0.0
157,Passau,Deggendorf,46.54961390705814
158,Passau,Burghausen,65.51118589851689
159,Passau,"Weißenburg, Bayern",189.20025636921855
160,Passau,Freising,128.0079055021289
161,Passau,Moosburg a.d. Isar,113.15151096158928
162,Passau,Vilsbiburg,82.6133357251776
163,Passau,Landau a.d. Isar,57.558601694193555
164,Passau,Mainburg,123.65247830991157
165,Passau,Abensberg,121.1529338352289
166,Passau,Schierling,101.37928528676476
167,Passau,Schrobenhausen,161.55031894668602
168,Passau,Erding,118.40231186155835
169,Passau,Pfarrkirchen,41.63055086114829
170,Passau,Osterhofen,35.34232451451586
171,Passau,Eichstätt,170.70625191162054
172,Passau,Neuburg a.d. Donau,168.54240369818572
173,Passau,Kösching,146.276690765709
174,Passau,Pfaffenhofen a.d. Ilm,143.7940286786034
