,from,to,distance
0,München,München,0.0
1,München,Augsburg,67346.3
2,München,Ingolstadt,80926.2
3,München,Regensburg,126235.2
4,München,Landshut,74959.9
5,München,Straubing,143965.8
6,München,Passau,192449.5
7,München,Deggendorf,146330.2
8,München,Burghausen,113182.0
9,München,"Weißenburg, Bayern",137013.7
10,München,Freising,41288.4
11,München,Moosburg a.d. Isar,55917.4
12,München,Vilsbiburg,81119.9
13,München,Landau a.d. Isar,122216.0
14,München,Mainburg,71788.6
15,München,Abensberg,94578.7
16,München,Schierling,114422.4
17,München,Schrobenhausen,77884.0
18,München,Erding,44190.6
19,München,Pfarrkirchen,125060.1
20,München,Osterhofen,151966.4
21,München,Eichstätt,110242.9
22,München,Neuburg a.d. Donau,96911.8
23,München,Kösching,87337.8
24,München,Pfaffenhofen a.d. Ilm,54178.3
25,Augsburg,Augsburg,0.0
26,Augsburg,Ingolstadt,82558.3
27,Augsburg,Regensburg,148181.3
28,Augsburg,Landshut,124735.9
29,Augsburg,Straubing,194521.5
30,Augsburg,Passau,244460.6
31,Augsburg,Deggendorf,196450.3
32,Augsburg,Burghausen,179395.0
33,Augsburg,"Weißenburg, Bayern",85505.9
34,Augsburg,Freising,90989.3
35,Augsburg,Moosburg a.d. Isar,105118.8
36,Augsburg,Vilsbiburg,142474.5
37,Augsburg,Landau a.d. Isar,171635.0
38,Augsburg,Mainburg,93552.5
39,Augsburg,Abensberg,105013.4
40,Augsburg,Schierling,138111.8
41,Augsburg,Schrobenhausen,44597.4
42,Augsburg,Erding,101053.3
43,Augsburg,Pfarrkirchen,191166.7
44,Augsburg,Osterhofen,201385.4
45,Augsburg,Eichstätt,90975.2
46,Augsburg,Neuburg a.d. Donau,68910.1
47,Augsburg,Kösching,90170.1
48,Augsburg,Pfaffenhofen a.d. Ilm,60735.1
49,Augsburg,München,67346.3
50,Ingolstadt,Augsburg,82558.3
51,Ingolstadt,Ingolstadt,0.0
52,Ingolstadt,Regensburg,97917.0
53,Ingolstadt,Landshut,106863.8
54,Ingolstadt,Straubing,138992.3
55,Ingolstadt,Passau,214037.6
56,Ingolstadt,Deggendorf,166367.9
57,Ingolstadt,Burghausen,179055.8
58,Ingolstadt,"Weißenburg, Bayern",52742.2
59,Ingolstadt,Freising,57731.8
60,Ingolstadt,Moosburg a.d. Isar,65691.8
61,Ingolstadt,Vilsbiburg,124602.4
62,Ingolstadt,Landau a.d. Isar,118660.2
63,Ingolstadt,Mainburg,42877.5
64,Ingolstadt,Abensberg,44165.4
65,Ingolstadt,Schierling,87436.8
66,Ingolstadt,Schrobenhausen,41155.2
67,Ingolstadt,Erding,84206.3
68,Ingolstadt,Pfarrkirchen,191203.1
69,Ingolstadt,Osterhofen,183240.8
70,Ingolstadt,Eichstätt,27238.1
71,Ingolstadt,Neuburg a.d. Donau,24075.4
72,Ingolstadt,Kösching,9626.4
73,Ingolstadt,Pfaffenhofen a.d. Ilm,38051.8
74,Ingolstadt,München,80926.2
75,Regensburg,Augsburg,148181.3
76,Regensburg,Ingolstadt,97917.0
77,Regensburg,Regensburg,0.0
78,Regensburg,Landshut,66776.2
79,Regensburg,Straubing,46675.9
80,Regensburg,Passau,121721.2
81,Regensburg,Deggendorf,74051.5
82,Regensburg,Burghausen,146436.1
83,Regensburg,"Weißenburg, Bayern",147853.1
84,Regensburg,Freising,104919.7
85,Regensburg,Moosburg a.d. Isar,85742.1
86,Regensburg,Vilsbiburg,84610.7
87,Regensburg,Landau a.d. Isar,75882.6
88,Regensburg,Mainburg,57308.4
89,Regensburg,Abensberg,42583.1
90,Regensburg,Schierling,28398.0
91,Regensburg,Schrobenhausen,106778.2
92,Regensburg,Erding,107800.8
93,Regensburg,Pfarrkirchen,112451.3
94,Regensburg,Osterhofen,91884.2
95,Regensburg,Eichstätt,90723.4
96,Regensburg,Neuburg a.d. Donau,113902.6
97,Regensburg,Kösching,74015.9
98,Regensburg,Pfaffenhofen a.d. Ilm,84995.0
99,Regensburg,München,126235.2
100,Landshut,Augsburg,124735.9
101,Landshut,Ingolstadt,106863.8
102,Landshut,Regensburg,66776.2
103,Landshut,Landshut,0.0
104,Landshut,Straubing,72065.4
105,Landshut,Passau,122004.5
106,Landshut,Deggendorf,73994.2
107,Landshut,Burghausen,83156.0
108,Landshut,"Weißenburg, Bayern",130105.9
109,Landshut,Freising,40455.1
110,Landshut,Moosburg a.d. Isar,21277.5
111,Landshut,Vilsbiburg,21330.6
112,Landshut,Landau a.d. Isar,49567.8
113,Landshut,Mainburg,37114.4
114,Landshut,Abensberg,51163.4
115,Landshut,Schierling,41774.1
116,Landshut,Schrobenhausen,100740.7
117,Landshut,Erding,43012.1
118,Landshut,Pfarrkirchen,72033.0
119,Landshut,Osterhofen,79318.2
120,Landshut,Eichstätt,136180.5
121,Landshut,Neuburg a.d. Donau,122849.4
122,Landshut,Kösching,75052.9
123,Landshut,Pfaffenhofen a.d. Ilm,80115.9
124,Landshut,München,74959.9
125,Straubing,Augsburg,194521.5
126,Straubing,Ingolstadt,138992.3
127,Straubing,Regensburg,46675.9
128,Straubing,Landshut,72065.4
129,Straubing,Straubing,0.0
130,Straubing,Passau,88138.1
131,Straubing,Deggendorf,40468.4
132,Straubing,Burghausen,103256.1
133,Straubing,"Weißenburg, Bayern",187731.3
134,Straubing,Freising,109461.2
135,Straubing,Moosburg a.d. Isar,90283.6
136,Straubing,Vilsbiburg,70157.0
137,Straubing,Landau a.d. Isar,31143.1
138,Straubing,Mainburg,98383.7
139,Straubing,Abensberg,83658.4
140,Straubing,Schierling,40420.8
141,Straubing,Schrobenhausen,147853.5
142,Straubing,Erding,112797.7
